title;handle;vendor;product_type;tags;created_at;price;sku;image;weight;shape;foam;collection;game_level;frame;surface;professional_player;color;racket_type;balance;gender;racket_cover
Raquette de padel Varlion LW Hexagone 8.8;raquette-de-padel-varlion-lw-hexagone-8-8;Varlion;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-17T10:31:04+01:00;84.9;6071;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/varlion-raquette-de-padel-lw-hexagon-8.8-face.jpg?v=1700213543;;forme;mousse;;;carbone;;pro;;;;;
Raquette de padel Pro Kennex Legend;raquette-de-padel-pro-kennex-legend;Pro Kennex;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-16T16:01:31+01:00;188.9;6067;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-pro-kennex-legend-face.jpg?v=1700147467;;forme;foam;;;;;pro;;;;;
Raquette de padel Pro Kennex Focus;raquette-de-padel-pro-kennex-focus;Pro Kennex;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-16T15:24:53+01:00;205.9;6066;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-De-Padel-Pro-Kennex-Focus-Face.jpg?v=1700144998;;forme;mousse;;;;;pro;noir;polyvalente;;;
Raquette de padel Pro Kennex Black Ace;raquette-de-padel-pro-kennex-ace-gold;Pro Kennex;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-16T14:27:44+01:00;237.9;6065;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-pro-kennex-black-ace-padel-face.jpg?v=1700141822;;forme;foam;;expert;carbone;;pro;;;;;housse
Raquette de padel Starvie Helion;raquette-de-padel-starvie-helion-2024;Starvie;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-14T09:06:46+01:00;149.9;6025;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-De-Padel-Starvie-Helion-Face.jpg?v=1699949851;poids;forme;mousse;2024;;carbone;;pro;;polyvalente;;;
Raquette de padel Starvie Titania Speed;raquette-de-padel-starvie-titania-speed-2024;Starvie;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-13T16:46:27+01:00;139.9;6024;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-De-Padel-Starvie-Titania-Speed-2024-Face.jpg?v=1699891806;poids;forme;mousse;2024;;carbone;sablée;pro;;;balance;;
Raquette de padel Starvie Titania Soft 2024;raquette-de-padel-starvie-titania-soft-2024;Starvie;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-13T16:04:55+01:00;139.9;6023;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-De-Padel-Starvie-Titania-Soft-2024-Face.jpg?v=1699889051;poids;forme;mousse;2024;;carbone;sablée;pro;;;balance;;
Raquette de padel Starvie Titania Pro 2024;raquette-de-padel-starvie-titania-pro-2024;Starvie;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-13T15:11:00+01:00;139.9;6022;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Raquette-De-Padel-Starvie-Titania-Pro-2024-Face.jpg?v=1699885024;poids;forme;mousse;2024;;carbone;sablée;pro;;;balance;;
Raquette de padel Starvie Dronos Speed;raquette-de-padel-starvie-dronos-speed;Starvie;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-11-10T10:33:01+01:00;189.9;6017;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/star-vie-raquette-de-padel-dronos-ultra-speed-soft-face.jpg?v=1699608783;poids;forme;mousse;2024;;carbone;;pro;white;polyvalente;balance;;
Housse de raquette Nox;housse-de-raquette-nox;Nox;Sac;NONOX, tout, Tout s Nox;2023-11-14T14:37:40+01:00;7.9;6029;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/Housse-de-Raquette-De-Padel-Nox.png?v=1699969190;;forme;;;;;;pro;white;;;;housse
